Criterion ID,Category
"13850,""/Beauty & Personal Care/Skin Care/Exfoliants & Scrubs"""
"10061,""/Beauty & Personal Care/Skin Care/Face Care"""
"10358,""/Beauty & Personal Care/Skin Care/Face Care/Face Lotions & Moisturizers"""
"10359,""/Beauty & Personal Care/Skin Care/Face Care/Facial Cleansers & Make-Up Removers"""
"10049,""/Beauty & Personal Care/Spa & Medical Spa"""
"10316,""/Beauty & Personal Care/Spa & Medical Spa/Aromatherapy & Essential Oils"""
"10314,""/Beauty & Personal Care/Spa & Medical Spa/At-Home Spa Equipment"""
"10317,""/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures"""
"11418,""/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Laser Skin Treatments"""
"11417,""/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Microdermabrasion"""
"11416,""/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Non-Surgical Fat Loss"""
"11415,""/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Permanent Make-up Services"""
"12939,""/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Wrinkle Treatments"""
"13704,""/Beauty & Personal Care/Spa & Medical Spa/Day Spas & Salon Spas"""
"13705,""/Beauty & Personal Care/Spa & Medical Spa/Destination & Resort Spas"""
"13446,""/Beauty & Personal Care/Spa & Medical Spa/Saunas"""
"10048,""/Beauty & Personal Care/Tanning & Sun Care"""
"10311,""/Beauty & Personal Care/Tanning & Sun Care/Sun Lotions & Sunscreen"""
"11413,""/Beauty & Personal Care/Tanning & Sun Care/Sun Lotions & Sunscreen/Self-Tanning Lotions & Products"""
"10313,""/Beauty & Personal Care/Tanning & Sun Care/Tanning Beds"""
"10312,""/Beauty & Personal Care/Tanning & Sun Care/Tanning Services"""
"10004,""/Business & Industrial"""
"13864,""/Business & Industrial/Aerospace & Defense"""
"13460,""/Business & Industrial/Agriculture"""
"11194,""/Business & Industrial/Agriculture/Agricultural Equipment"""
"12444,""/Business & Industrial/Agriculture/Agricultural Equipment/Balers"""
"12438,""/Business & Industrial/Agriculture/Agricultural Equipment/Crop Sprayers"""
"12440,""/Business & Industrial/Agriculture/Agricultural Equipment/Cultivators"""
"12443,""/Business & Industrial/Agriculture/Agricultural Equipment/Farm Tractors"""
